english	preferred_zh	en_forms	zh_variants	sense	distinction	evidence	status
interface documentation	接口文档	interface documentation|interface comment|interface comments	接口文档|接口注释	调用方使用模块所需的信息	排除调用方无需知道的实现细节	docs/en/ch12.md:35; docs/ch12.md:67; docs/en/ch22.md:3	确认；沿用
implementation documentation	实现文档	implementation documentation|implementation comment|implementation comments	实现文档|实现注释	维护内部实现所需的信息	与接口文档分开	docs/en/ch22.md:3; docs/ch22.md:3	确认；沿用
self-documenting	自解释的	self-documenting	自解释|自说明	代码自身传达含义的主张	保留作者对该借口的批评，不强化为代码可替代全部文档	docs/en/ch12.md:11; docs/ch12.md:11	确认；沿用
consistency	一致性	consistency	一致性	类似情形采用类似方式	不是把本来不同的情形强行统一	docs/en/ch17.md:3; docs/ch17.md:3	确认；沿用
invariant	不变量	invariant|invariants	不变量|不变式	变量或结构始终满足的性质	不是数值永远不变的变量	docs/en/ch21.md:11; docs/ch21.md:11; docs/ch17.md:19	确认；解释边界
leverage	以少量知识或机制解决更多问题	leverage|leverage point|cognitive leverage	杠杆点|认知杠杆|杠杆	一种知识或机制带来广泛收益	不是物理杠杆；正文用语义表达，不硬统一为一个名词	docs/en/ch21.md:11; docs/ch21.md:11; docs/en/ch17.md:3	确认；按语境释义
selection	选区／所选区域	selection|selections	选择的区域|选择区域|区域选择|所选区域|选区|所选内容	文本编辑器选中的字符范围	普通选择方案不是selection技术义；动作与区域区分	docs/en/ch06.md:35; docs/ch06.md:33; docs/README.md:63	确认；优先既有所选区域
undo/redo	撤销／重做	undo|redo|undos|redos	撤销|撤消|重做	编辑操作的逆向恢复和再次执行	保留History.redo原文矛盾作待核，不擅改API	docs/en/ch06.md:133; docs/ch06.md:129; docs/en/ch06.md:137	确认译法；源文疑点保留
line-oriented	面向行	line-oriented	面向行	以整行文本为操作单位	不等于面向字符或任意范围	docs/en/ch11.md:5; docs/ch11.md:5	确认；沿用
character-oriented	面向字符	character-oriented	面向字符	以单个字符为操作单位	不与字符串接口混同	docs/en/ch11.md:9; docs/ch11.md:9	确认；沿用
string-oriented	面向字符串	string-oriented	面向字符串	可操作包括跨行范围的字符串	不强行将原文string和range术语合并	docs/en/ch11.md:5; docs/ch11.md:5	确认；沿用
range-oriented	面向范围	range-oriented	面向范围	以一段字符范围为操作单位	保留与其他接口粒度的比较	docs/en/ch11.md:17; docs/ch11.md:17	确认；沿用
gap buffer	间隙缓冲区	gap buffer	间隙缓冲区	文本存储结构	不是普通I/O缓冲区	docs/en/ch11.md:19; docs/ch11.md:19	确认；沿用
configuration parameter	配置参数	configuration parameter|configuration parameters	配置参数|配置选项	控制策略的外部设置	不要将选择策略的负担无谓转嫁给管理员	docs/en/ch08.md:5; docs/ch08.md:5	确认；按语境
critical path	关键路径	critical path|critical paths|performance-critical path	关键路径|性能关键路径	对性能最重要的执行路径	不是项目管理中的工期路径	docs/en/ch20.md:15; docs/ch20.md:144	确认；沿用
current term	当前任期	current term	当前项|当前任期	Raft示例的任期编号	不译当前项或当前术语	docs/en/ch18.md:15; docs/ch18.md:152	确认；修正
strategic comments	有针对性的注释	strategic comments	战略式注释|有针对性的注释	在关键位置补充读者需要的信息	不机械套用第3章战略式编程名称	docs/en/ch18.md:17; docs/ch18.md:154	确认；按语境
design it twice	设计两次	design it twice|design-it-twice|designing it twice	设计两次|两次设计	关键设计决策比较多个方案	并非要求完整实现两遍	docs/en/ch11.md:3; docs/ch11.md:3	确认；沿用
define errors out of existence	通过定义来规避错误	define errors out of existence|defining errors out of existence|redefining semantics to eliminate error conditions	通过定义来规避错误|重新定义语义以消除错误条件	调整操作语义让正常行为覆盖原异常情况	不是忽略或掩盖真实错误	docs/en/ch10.md:3; docs/ch10.md:3; docs/en/ch10.md:25	确认；沿用并澄清
clean design	整洁的设计	clean design|clean designs	整洁的设计|简洁的设计	清晰有序的设计	clean和simple不必都译简洁	docs/en/ch03.md:3; docs/ch03.md:4	确认；沿用
Clean Code	代码整洁之道	Clean Code	代码整洁之道|整洁代码之道	Robert Martin书名	保留引文观点，不把作者的反驳改成建议	docs/en/ch12.md:27; docs/ch12.md:60; docs/ch09.md:197	确认；统一书名
code review	代码审查	code review|code reviews	代码审查|代码审核	通过阅读代码发现设计问题	与audit审计区分	docs/en/ch01.md:32; docs/ch01.md:31	确认；沿用
unit test	单元测试	unit test|unit tests|unit testing	单元测试	对单元行为的测试	普通test不是所有情况下都指单元测试	docs/en/ch15.md:4; docs/ch15.md:4; docs/en/ch19.md:9	确认；沿用
test-driven development	测试驱动开发	test-driven development	测试驱动开发	先写测试再实现的开发方式	与单元测试分开；保留作者的反对意见及修复缺陷时的例外	OEBPS/part0023.xhtml#p25:f57de5c385; OEBPS/part0023.xhtml#p26:767f205de4	完整原文确认
design pattern	设计模式	design pattern|design patterns	设计模式	常见设计问题的复用方案	普通pattern也可能只是相似结构	docs/en/preface.md:3; docs/preface.md:3	确认；按语境
agile development	敏捷开发	agile development	敏捷开发	增量软件开发方法	保留作者对以功能而非抽象为增量的批评	docs/en/ch01.md:18; docs/ch01.md:17	确认；沿用
parameter/argument	参数	parameter|parameters|argument|arguments	参数|实参|形参	按项目约定统称参数	记录英文区别；本次不全书引入形参实参二分	docs/en/ch06.md:35; docs/ch06.md:33; docs/en/ch21.md:31	确认；沿用
GUI/text editor	图形界面／文本编辑器	GUI|GUI text editor|text editor|text editors	图形界面|图像界面|文本编辑器|文本编译器	图形用户界面的文本编辑器	不是图像编辑器或编译器	docs/en/ch06.md:21; docs/ch06.md:21; docs/README.md:63	确认；修正
dispatcher	分发器	dispatcher|dispatchers	分发器|分派器|调度方法	将请求分发给相应处理方法	不与scheduler调度器混同	OEBPS/part0011.xhtml#p40:76d55e43e9; docs/README.md:58	完整原文确认
technical debt	技术债	technical debt	技术债务|技术债	现在省时而让未来付出更大代价	不擅改作者量化判断	OEBPS/part0007.xhtml#p21:fdd3237231	完整原文确认
strategic/tactical programming	战略式编程／战术式编程	strategic programming|tactical programming|strategic approach|tactical approach	战略式编程|战术式编程|战略式方法|战术式方法	持续投资设计与只追求当前任务完成的对比	strategic comments另按语境翻译	docs/en/ch03.md:3; docs/en/ch03.md:17; docs/ch03.md:4	确认；沿用
common case	常见情况	common case|common cases|common-case	常见情况|常见场景	最常遇到的情况	common-case code不是general-purpose通用代码	docs/en/ch06.md:5; docs/ch06.md:5	确认；修正
normal case	正常情况	normal case|normal cases	正常情况	非异常情况下的常规行为	不按频率等同于常见情况	docs/en/ch10.md:3; docs/ch10.md:3; docs/en/ch06.md:153	确认；沿用
centrality	核心地位	centrality	中心化|核心地位	重要概念决定周围系统结构	不是centralization集中式架构	docs/en/ch21.md:23; docs/ch21.md:23	确认；修正
by a factor of 2	达到原来的两倍	by a factor of 2	提高两倍|原来的两倍	结果是原值乘以二	不是增加原值的两倍	docs/en/ch20.md:15; docs/ch20.md:144	确认；修正
single instance	只出现一处	single instance	单例代码|一处代码|一份代码	代码在系统中只有一处	不是单例设计模式	docs/en/ch09.md:5; docs/ch09.md:10	确认；修正
allocation	分配／分配的内存区域	allocation|allocations	分配|分配器|内存区域|内存分配区域	分配操作或其得到的内存区域	不是执行分配操作的allocator	OEBPS/part0014.xhtml#p87:4780a917ab; OEBPS/part0022.xhtml#p86:8e2f7311da	完整原文确认；按语境
internal representation	内部表示	internal representation|internal representations	内部表示|内部实现	内部采用的数据组织形式	比implementation内部实现更具体	OEBPS/part0009.xhtml#p43:5c5eb3299a	完整原文确认；修正
partial information hiding	部分信息隐藏	partial information hiding	部分信息隐藏|隐藏部分信息	部分调用者不需要知道该信息	不等于全部信息都公开	OEBPS/part0009.xhtml#p16:3b92e49940	完整原文确认
classitis	多类症	classitis	多类症	将类越多越好推向极端的设计倾向	沿用作者有意命名，不直译医学疾病	OEBPS/part0008.xhtml#p54:d9224258d8	完整原文确认；沿用
secondary exceptions	后续异常	secondary exception|secondary exceptions	次要异常|后续异常|新的异常	异常恢复过程再次触发的异常	secondary表示随后发生，不表示重要性较低	OEBPS/part0014.xhtml#p13:e1e3cb0444	完整原文确认；修正
instrumentation	诊断插桩／诊断跟踪代码	instrumentation	诊断插桩|诊断信息|跟踪代码|诊断跟踪	加入代码以观察程序执行状态	不是泛指编程工具	OEBPS/part0018.xhtml#p7:8c78010958	完整原文确认；按语境
factoring	拆分方式	factoring|factor out|factored out|factoring out	拆分方式|拆分|提取	将功能提取为代码单元的方式	不与refactoring整体重构机械混同	OEBPS/part0013.xhtml#p76:00e2420106	完整原文确认；按语境
common name	统一约定的名称	common name|common names	通用名称|统一约定的名称|约定的名称	同一用途共同采用的名称	不是语义笼统或适用范围广的名称	OEBPS/part0018.xhtml#p51:06485baed2	完整原文确认；修正
interface inheritance	接口继承	interface inheritance	接口继承	通过同一接口支持不同实现	与实现继承分开	OEBPS/part0023.xhtml#p6:6eb74b2095	完整原文确认；沿用
implementation inheritance	实现继承	implementation inheritance	实现继承	继承默认实现并允许覆盖	不等于接口继承	OEBPS/part0023.xhtml#p8:18d8c7aeae	完整原文确认；沿用
